space_order,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,256,256,256,256,1,1.16,2.68,81.78,3.72
2,256,256,256,256,2,1.16,2.68,81.78,3.72
2,256,512,256,256,1,2.39,2.69,79.38,3.61
2,256,512,256,256,2,2.38,2.69,79.72,3.63
2,256,256,512,256,1,2.35,2.69,80.74,3.67
2,256,256,512,256,2,2.35,2.69,80.74,3.67
2,256,512,512,512,1,9.32,2.71,81.43,3.71
2,256,512,512,512,2,9.39,2.71,80.82,3.68
2,512,256,256,256,1,2.31,2.69,81.97,3.73
2,512,256,256,256,2,2.31,2.69,81.97,3.73
4,256,256,256,256,1,1.23,3.33,98.16,3.51
4,256,256,256,256,2,1.23,3.33,98.16,3.51
4,256,512,256,256,1,2.49,3.36,96.98,3.47
4,256,512,256,256,2,2.48,3.36,97.37,3.48
4,256,256,512,256,1,2.44,3.36,98.96,3.54
4,256,256,512,256,2,2.44,3.36,98.96,3.54
4,256,512,512,512,1,10.03,3.41,96.3,3.44
4,256,512,512,512,2,10.03,3.41,96.3,3.44
4,512,256,256,256,1,2.45,3.34,98.37,3.52
4,512,256,256,256,2,2.45,3.34,98.37,3.52
8,256,256,256,256,1,1.94,5.23,102.24,2.23
8,256,256,256,256,2,1.94,5.23,102.24,2.23
8,256,512,256,256,1,3.8,5.31,104.39,2.27
8,256,512,256,256,2,3.8,5.31,104.39,2.27
8,256,256,512,256,1,3.78,5.31,104.95,2.29
8,256,256,512,256,2,3.78,5.31,104.95,2.29
8,256,512,512,512,1,15.49,5.47,102.44,2.23
8,256,512,512,512,2,15.52,5.47,102.24,2.23
8,512,256,256,256,1,3.87,5.24,102.31,2.23
8,512,256,256,256,2,4.03,5.24,98.25,2.14
